vehicle_id,timestamp,latitude,longitude,speed_kmh,stop_name
JEEP-01,2026-06-20T06:00:00Z,14.5808,121.0885,0.0,"Araneta Center, Cubao"
JEEP-01,2026-06-20T06:00:30Z,14.580367,121.087733,1.32,Cubao Corner
JEEP-01,2026-06-20T06:01:00Z,14.579933,121.086967,0.0,Cubao Corner
JEEP-01,2026-06-20T06:01:30Z,14.5795,121.0862,0.74,Cubao Corner
JEEP-01,2026-06-20T06:02:00Z,14.5795,121.0862,20.54,Cubao Corner
JEEP-01,2026-06-20T06:02:30Z,14.578,121.082,19.21,SM City Cubao
JEEP-01,2026-06-20T06:03:00Z,14.578,121.082,13.07,SM City Cubao
JEEP-01,2026-06-20T06:03:30Z,14.577333,121.079667,23.16,Aurora Boulevard
JEEP-01,2026-06-20T06:04:00Z,14.576667,121.077333,19.07,Aurora Boulevard
JEEP-01,2026-06-20T06:04:30Z,14.576,121.075,14.51,Aurora Boulevard
JEEP-01,2026-06-20T06:05:00Z,14.576,121.075,1.05,Aurora Boulevard
JEEP-01,2026-06-20T06:05:30Z,14.57586,121.074698,3.58,Dapitan-Legarda
JEEP-01,2026-06-20T06:06:00Z,14.575721,121.074395,1.42,Dapitan-Legarda
JEEP-01,2026-06-20T06:06:30Z,14.575581,121.074093,2.96,Dapitan-Legarda
JEEP-01,2026-06-20T06:07:00Z,14.575442,121.073791,2.29,Dapitan-Legarda
JEEP-01,2026-06-20T06:07:30Z,14.575302,121.073488,2.25,Dapitan-Legarda
JEEP-01,2026-06-20T06:08:00Z,14.575163,121.073186,2.61,Dapitan-Legarda
JEEP-01,2026-06-20T06:08:30Z,14.575023,121.072884,3.68,Dapitan-Legarda
JEEP-01,2026-06-20T06:09:00Z,14.574884,121.072581,6.02,Dapitan-Legarda
JEEP-01,2026-06-20T06:09:30Z,14.574744,121.072279,0.0,Dapitan-Legarda
JEEP-01,2026-06-20T06:10:00Z,14.574605,121.071977,2.93,Dapitan-Legarda
JEEP-01,2026-06-20T06:10:30Z,14.574465,121.071674,2.8,Dapitan-Legarda
JEEP-01,2026-06-20T06:11:00Z,14.574326,121.071372,2.35,Dapitan-Legarda
JEEP-01,2026-06-20T06:11:30Z,14.574186,121.07107,2.4,Dapitan-Legarda
JEEP-01,2026-06-20T06:12:00Z,14.574047,121.070767,3.57,Dapitan-Legarda
JEEP-01,2026-06-20T06:12:30Z,14.573907,121.070465,3.45,Dapitan-Legarda
JEEP-01,2026-06-20T06:13:00Z,14.573767,121.070163,4.32,Dapitan-Legarda
JEEP-01,2026-06-20T06:13:30Z,14.573628,121.06986,3.78,Dapitan-Legarda
JEEP-01,2026-06-20T06:14:00Z,14.573488,121.069558,4.1,Dapitan-Legarda
JEEP-01,2026-06-20T06:14:30Z,14.573349,121.069256,5.32,Dapitan-Legarda
JEEP-01,2026-06-20T06:15:00Z,14.573209,121.068953,4.25,Dapitan-Legarda
JEEP-01,2026-06-20T06:15:30Z,14.57307,121.068651,3.78,Dapitan-Legarda
JEEP-01,2026-06-20T06:16:00Z,14.57293,121.068349,3.53,Dapitan-Legarda
JEEP-01,2026-06-20T06:16:30Z,14.572791,121.068047,3.45,Dapitan-Legarda
JEEP-01,2026-06-20T06:17:00Z,14.572651,121.067744,3.78,Dapitan-Legarda
JEEP-01,2026-06-20T06:17:30Z,14.572512,121.067442,4.35,Dapitan-Legarda
